Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,22.263332,22.393333,22.036667,22.070000,19.800413,1191300
2016-10-19,22.053333,22.156668,21.950001,22.133333,19.857235,1708800
2016-10-20,22.176666,22.193333,21.876667,21.910000,19.656866,1671300
2016-10-21,21.803333,22.103333,21.740000,22.059999,19.791443,1860900
2016-10-24,22.086666,22.256666,22.066668,22.100000,19.827335,1497000
2016-10-25,22.133333,22.270000,22.020000,22.120001,19.845272,3026700
2016-10-26,21.740000,22.203333,21.426666,21.563334,19.345846,3825900
2016-10-27,21.516666,21.516666,21.106667,21.316668,19.124548,3459300
2016-10-28,21.346666,21.530001,21.240000,21.363333,19.166420,1481700
2016-10-31,21.376667,21.423332,21.276667,21.323334,19.130529,2031600
2016-11-01,21.266666,21.400000,21.100000,21.173332,18.995955,2914800
2016-11-02,21.216667,21.350000,21.176666,21.253332,19.067726,2097900
2016-11-03,21.266666,21.516666,21.266666,21.386667,19.187351,2585100
2016-11-04,21.446667,21.806667,21.343332,21.559999,19.342855,3805500
2016-11-07,21.776667,21.856667,21.680000,21.820000,19.576118,2053500
2016-11-08,21.813334,21.856667,21.396667,21.793333,19.552197,1999500
2016-11-09,21.736668,22.379999,21.563334,22.309999,20.015736,3102000
2016-11-10,22.496668,22.763332,22.296667,22.366667,20.066574,3633600
2016-11-11,22.326668,22.440001,21.956667,22.146667,19.869198,2668200
2016-11-14,22.206667,22.219999,21.523333,21.576668,19.357815,4239900
2016-11-15,21.606667,21.636667,21.200001,21.493334,19.283047,3494700
2016-11-16,21.473333,21.650000,21.383333,21.570000,19.351833,3777600
2016-11-17,21.563334,21.713333,21.523333,21.620001,19.396694,1663800
2016-11-18,21.643333,21.980000,21.570000,21.950001,19.692755,2873400
2016-11-21,22.036667,22.086666,21.883333,21.990000,19.728640,2415300
2016-11-22,22.049999,22.070000,21.770000,21.860001,19.612005,1860000
2016-11-23,21.856667,21.873333,21.596666,21.780001,19.540236,1497000
2016-11-25,21.703333,21.896667,21.703333,21.896667,19.644905,653700
2016-11-28,21.846666,21.846666,21.490000,21.526667,19.312954,2511000
2016-11-29,21.626667,21.823334,21.473333,21.656668,19.429583,3622800
2016-11-30,21.650000,21.686666,21.316668,21.363333,19.166420,4319400
2016-12-01,21.323334,21.440001,21.139999,21.183332,19.004919,3117300
2016-12-02,21.233334,21.500000,21.120001,21.293333,19.103617,2855400
2016-12-05,21.556667,21.686666,21.436666,21.620001,19.396694,3566700
2016-12-06,21.713333,22.196667,21.583332,22.173332,19.893116,4678200
2016-12-07,22.273333,22.693333,22.153334,22.536667,20.219091,4445700
2016-12-08,22.623333,22.709999,22.396667,22.590000,20.266939,2241000
2016-12-09,22.666668,22.893333,22.370001,22.873333,20.521137,2859600
2016-12-12,22.743334,23.023333,22.719999,22.930000,20.571974,2388000
2016-12-13,23.000000,23.243334,22.953333,23.086666,20.712530,3097200
2016-12-14,22.983334,23.083332,22.646667,22.753332,20.508224,3249600
2016-12-15,22.803333,22.966667,22.673332,22.870001,20.613384,2195100
2016-12-16,22.863333,23.026667,22.610001,22.686666,20.448143,3837300
2016-12-19,22.639999,22.853333,22.456667,22.566668,20.339981,1583700
2016-12-20,22.543333,22.703333,22.469999,22.670000,20.433119,1813800
2016-12-21,22.750000,22.750000,22.476667,22.496668,20.276892,1162200
2016-12-22,22.493334,22.500000,22.326668,22.403334,20.192762,1097700
2016-12-23,22.376667,22.459999,22.309999,22.389999,20.180744,1116300
2016-12-27,22.469999,22.523333,22.356667,22.510000,20.288910,784500
2016-12-28,22.526667,22.540001,22.383333,22.446667,20.231821,2559600
2016-12-29,22.446667,22.490000,22.299999,22.336666,20.132675,1451100
2016-12-30,22.433332,22.480000,22.323334,22.373333,20.165724,1646100
2017-01-03,22.490000,22.530001,22.086666,22.226667,20.033529,1843800
2017-01-04,22.216667,22.600000,22.213333,22.573334,20.345993,1837500
2017-01-05,22.496668,22.716667,22.413334,22.546667,20.321957,1878900
2017-01-06,22.540001,22.936666,22.506666,22.820000,20.568316,1845600
2017-01-09,22.790001,22.816668,22.443333,22.590000,20.361013,1919700
2017-01-10,22.540001,22.623333,22.389999,22.400000,20.189758,2501700
2017-01-11,22.396667,22.600000,22.296667,22.573334,20.345993,1452300
2017-01-12,22.480000,22.516666,22.033333,22.466667,20.249849,1507800
2017-01-13,22.443333,22.639999,22.413334,22.570000,20.342985,1383000
2017-01-17,22.453333,22.559999,22.296667,22.330000,20.126675,2726400
2017-01-18,22.236668,22.430000,22.206667,22.416668,20.204784,2332800
2017-01-19,22.353333,22.446667,22.163334,22.353333,20.147696,1875000
2017-01-20,22.433332,22.526667,22.280001,22.453333,20.237833,1913400
2017-01-23,22.353333,22.559999,22.223333,22.440001,20.225819,1889100
2017-01-24,22.410000,22.763332,22.283333,22.650000,20.415091,1941000
2017-01-25,22.696667,22.816668,22.566668,22.780001,20.532269,1841400
2017-01-26,22.833332,22.966667,22.760000,22.943333,20.679482,1870800
2017-01-27,22.973333,22.976667,22.700001,22.786667,20.538277,2182800
2017-01-30,22.680000,22.753332,22.476667,22.726667,20.484196,2288400
2017-01-31,22.786667,23.536667,22.420000,23.513332,21.193233,4448100
2017-02-01,23.490000,23.963333,23.430000,23.583332,21.256330,4021800
2017-02-02,23.556667,23.736668,23.343332,23.556667,21.232296,2489100
2017-02-03,23.666668,23.666668,23.346666,23.446667,21.133148,2922600
2017-02-06,23.350000,23.436666,23.200001,23.246668,20.952887,2609400
2017-02-07,23.326668,23.379999,22.976667,23.120001,20.838722,4113600
2017-02-08,23.100000,23.126667,22.873333,22.959999,20.694508,2988000
2017-02-09,23.106667,23.156668,22.936666,23.033333,20.760597,1672800
2017-02-10,23.036667,23.333332,23.026667,23.256666,20.961899,2632800
2017-02-13,23.263332,23.620001,23.146667,23.566668,21.241310,2520900
2017-02-14,23.566668,23.680000,23.500000,23.593332,21.265347,2047800
2017-02-15,23.676666,23.876667,23.503332,23.750000,21.406555,2631000
2017-02-16,23.776667,23.863333,23.573334,23.780001,21.433594,2638200
2017-02-17,23.709999,23.883333,23.600000,23.836666,21.484669,8131200
2017-02-21,23.866667,23.953333,23.756666,23.790001,21.442606,2919900
2017-02-22,23.746668,23.920000,23.686666,23.746668,21.403549,2477400
2017-02-23,23.809999,23.910000,23.723333,23.816668,21.466648,1641900
2017-02-24,23.693333,23.930000,23.683332,23.816668,21.466648,2615400
2017-02-27,23.856667,23.856667,23.639999,23.716667,21.376513,2301600
2017-02-28,23.726667,23.776667,23.563334,23.703333,21.364489,4068000
2017-03-01,24.000000,24.173332,23.936666,24.059999,21.685968,3881100
2017-03-02,24.059999,24.113333,23.716667,23.750000,21.406555,2678700
2017-03-03,23.736668,23.860001,23.559999,23.696667,21.358484,3312300
2017-03-06,23.603333,23.853333,23.543333,23.786667,21.439600,2632200
2017-03-07,23.813334,23.813334,23.576668,23.643333,21.310413,2216100
2017-03-08,23.663334,23.776667,23.553333,23.576668,21.250322,2481600
2017-03-09,23.680000,23.756666,23.570000,23.693333,21.355474,2162400
2017-03-10,23.770000,23.856667,23.423332,23.653334,21.319427,3255600
2017-03-13,23.626667,23.673332,23.476667,23.593332,21.265347,3168600
2017-03-14,23.549999,23.646667,23.503332,23.570000,21.244318,2074500
2017-03-15,23.563334,23.636667,23.453333,23.606667,21.374090,2868000
2017-03-16,23.593332,23.753332,23.456667,23.719999,21.476702,3297600
2017-03-17,23.706667,23.820000,23.616667,23.626667,21.392202,4654800
2017-03-20,23.549999,23.676666,23.513332,23.590000,21.359005,1897800
2017-03-21,23.683332,23.736668,23.230000,23.246668,21.048138,3427800
2017-03-22,23.270000,23.320000,23.129999,23.233334,21.036066,2138100
2017-03-23,23.256666,23.406668,23.203333,23.243334,21.045126,2519700
2017-03-24,23.306667,23.513332,23.226667,23.283333,21.081337,2534100
2017-03-27,23.090000,23.133333,22.930000,23.003332,20.827820,1577700
2017-03-28,22.993334,23.129999,22.866667,23.046667,20.867050,2908200
2017-03-29,22.990000,23.003332,22.809999,22.889999,20.725206,1803300
2017-03-30,22.900000,23.170000,22.840000,23.129999,20.942505,2685000
2017-03-31,23.056667,23.213333,22.959999,23.150000,20.960617,2701500
2017-04-03,23.093332,23.200001,22.943333,22.969999,20.797644,2033400
2017-04-04,22.943333,22.980000,22.690001,22.876667,20.713133,2400000
2017-04-05,23.006666,23.299999,22.850000,23.030001,20.851963,2399100
2017-04-06,23.013332,23.213333,22.906668,23.043333,20.864033,1614600
2017-04-07,22.923332,23.193333,22.913334,23.073334,20.891197,2466900
2017-04-10,23.093332,23.236668,23.036667,23.120001,20.933456,2029800
